PlaceID,Year,LandPrice
1387,1992,0
1387,1993,0
1387,1994,0
1387,1995,0
1387,1996,0
1387,1997,0
1387,1998,0
1387,1999,0
1387,2000,0
1387,2001,0
1387,2002,0
1387,2003,0
1387,2004,0
1387,2005,0
1387,2006,0
1387,2007,0
1387,2008,0
1387,2009,0
1387,2010,0
1387,2011,0
1387,2012,0
1387,2013,0
1419,1992,0
1419,1993,0
1419,1994,0
1419,1995,0
1419,1996,0
1419,1997,0
1419,1998,0
1419,1999,0
1419,2000,0
1419,2001,0
1419,2002,0
1419,2003,0
1419,2004,0
1419,2005,0
1419,2006,0
1419,2007,0
1419,2008,0
1419,2009,0
1419,2010,0
1419,2011,0
1419,2012,0
1419,2013,0
1451,1992,0
1451,1993,0
1451,1994,0
1451,1995,0
1451,1996,0
1451,1997,0
1451,1998,0
1451,1999,0
1451,2000,0
1451,2001,0
1451,2002,0
1451,2003,0
1451,2004,0
1451,2005,0
1451,2006,0
1451,2007,0
1451,2008,0
1451,2009,0
1451,2010,0
1451,2011,0
1451,2012,0
1451,2013,0
1483,1992,0
1483,1993,0
1483,1994,0
1483,1995,0
1483,1996,0
1483,1997,0
1483,1998,0
1483,1999,0
1483,2000,0
1483,2001,0
1483,2002,0
1483,2003,0
1483,2004,0
1483,2005,0
1483,2006,0
1483,2007,0
1483,2008,0
1483,2009,0
1483,2010,0
1483,2011,0
1483,2012,0
1483,2013,0
1515,1992,0
1515,1993,0
1515,1994,0
1515,1995,0
1515,1996,0
1515,1997,0
1515,1998,0
1515,1999,0
1515,2000,0
1515,2001,0
1515,2002,0
1515,2003,0
1515,2004,0
1515,2005,0
1515,2006,0
1515,2007,0
1515,2008,0
1515,2009,0
1515,2010,0
1515,2011,0
1515,2012,0
1515,2013,0
1579,1992,0
1579,1993,0
1579,1994,0
1579,1995,0
1579,1996,0
1579,1997,0
1579,1998,0
1579,1999,0
1579,2000,0
1579,2001,0
1579,2002,0
1579,2003,0
1579,2004,0
1579,2005,0
1579,2006,0
1579,2007,0
1579,2008,0
1579,2009,0
1579,2010,0
1579,2011,0
1579,2012,0
1579,2013,0
1643,1992,0
1643,1993,0
1643,1994,0
1643,1995,0
1643,1996,0
1643,1997,0
1643,1998,0
1643,1999,0
1643,2000,0
1643,2001,0
1643,2002,0
1643,2003,0
1643,2004,0
1643,2005,0
1643,2006,0
1643,2007,0
1643,2008,0
1643,2009,0
1643,2010,0
1643,2011,0
1643,2012,0
1643,2013,0
12,1992,0
12,1993,0
12,1994,0
12,1995,0
12,1996,0
12,1997,0
12,1998,0
12,1999,0
12,2000,0
12,2001,0
12,2002,0
12,2003,0
12,2004,0
12,2005,0
12,2006,0
12,2007,0
12,2008,0
