PlaceID,Year,AverageLandPrice,MeanLight,SumLight
1128,1993,740.9090909090909,57.57143000000001,403.0
1128,1994,739.3909090909091,62.714287,439.0
1128,1995,739.3909090909091,61.85714300000001,433.0
1128,1996,739.3909090909091,61.714287,432.0
1128,1997,739.3909090909091,62.85714300000001,440.0
1128,1998,739.3909090909091,60.85714300000001,426.0
1128,1999,724.2363636363636,60.85714300000001,426.0
1128,2000,782.0454545454545,61.0,427.0
1128,2001,757.2727272727273,59.42856999999999,416.0
1128,2002,722.7272727272727,61.85714300000001,433.0
1128,2003,670.5454545454545,58.285713,408.0
1128,2004,599.5454545454545,61.0,427.0
1128,2005,618.0636363636364,61.0,427.0
1128,2006,581.3636363636364,61.0,427.0
1128,2007,575.6545454545453,61.14285699999999,428.0
1128,2008,553.5272727272727,62.42856999999999,437.0
1128,2009,526.1545454545453,59.0,413.0
1128,2010,500.2,61.85714300000001,433.0
1128,2011,473.4272727272728,61.285713,429.0
1128,2012,450.5,61.0,427.0
1128,2013,429.4909090909091,60.85714300000001,426.0
375,1993,82.72727272727273,2.5212767000000005,237.0
375,1994,330.6,3.5319149,332.0
375,1995,330.6,4.6702127,439.0
375,1996,323.0272727272727,4.3829789,412.0
375,1997,316.3636363636364,4.1276598,388.0
375,1998,316.3636363636364,3.0106382000000003,283.0
375,1999,308.1818181818182,4.1914892,394.0
375,2000,303.6363636363636,5.7446809000000005,540.0
375,2001,300.3,5.287233799999999,497.0
375,2002,461.3636363636364,5.1276598,482.0
375,2003,448.4090909090909,3.6702127,345.0
375,2004,435.6818181818182,4.8085108,452.0
375,2005,425.45454545454544,3.8085105,358.0
375,2006,418.6363636363636,4.2659574000000005,401.0
375,2007,409.54545454545456,4.7659574000000005,448.0
375,2008,396.8181818181818,4.787233799999999,450.0
375,2009,381.8181818181818,2.3820224,212.0
375,2010,362.7272727272728,6.8988762,614.0
375,2011,346.1363636363636,4.1011238,365.0
375,2012,291.8181818181818,3.6276596,341.0
375,2013,281.27272727272725,4.287233799999999,403.0
382,1993,836.3636363636364,7.479087400000001,1967.0
382,1994,455.7545454545455,7.0798478000000005,1862.0
382,1995,455.7545454545455,8.3384027,2193.0
382,1996,455.7545454545455,8.288973799999999,2180.0
382,1997,452.7272727272728,7.0646385999999985,1858.0
382,1998,379.09090909090907,7.2927756,1918.0
382,1999,376.8181818181818,6.1711025,1623.0
382,2000,346.2090909090909,7.9847908,2100.0
382,2001,333.93636363636364,8.228137,2164.0
382,2002,321.2090909090909,8.4030418,2210.0
382,2003,282.3363636363636,6.095057,1603.0
382,2004,274.92727272727274,8.311786699999999,2186.0
382,2005,268.95454545454544,7.190114,1891.0
382,2006,264.54545454545456,7.041825299999998,1852.0
382,2007,262.07272727272726,8.2015209,2157.0
382,2008,260.90909090909093,7.3954372,1945.0
382,2009,257.27272727272725,7.878788,2080.0
382,2010,249.34545454545452,10.837121,2861.0
382,2011,238.5636363636364,7.651515,2020.0
382,2012,227.4,7.9087453,2080.0
382,2013,214.67272727272731,7.0190115,1846.0
306,1993,659.0909090909091,5.3670888,424.0
306,1994,654.5454545454545,5.4810127999999985,433.0
306,1995,654.5454545454545,5.8607593,463.0
306,1996,654.5454545454545,7.1265820999999985,563.0
306,1997,654.5454545454545,6.0886078,481.0
306,1998,654.5454545454545,5.5316458,437.0
306,1999,650.0,4.1898732,331.0
306,2000,650.0,7.759493799999999,613.0
306,2001,627.2727272727273,6.164557,487.0
306,2002,440.9090909090909,6.6455698000000005,525.0
306,2003,409.09090909090907,4.6455698,367.0
306,2004,384.09090909090907,6.4556961,510.0
306,2005,371.8181818181818,4.6202530999999984,365.0
306,2006,359.09090909090907,4.594936799999998,363.0
306,2007,347.72727272727275,5.9240508,468.0
306,2008,340.45454545454544,5.0886078,402.0
306,2009,330.45454545454544,6.740740799999998,546.0
306,2010,309.09090909090907,8.0864201,655.0
306,2011,292.27272727272725,6.9506172999999984,563.0
306,2012,277.27272727272725,4.3417721,343.0
306,2013,261.8181818181818,5.050633,399.0
407,1993,306.05454545454546,38.533333,578.0
407,1994,310.0,47.266666,709.0
407,1995,389.6363636363636,47.266666,709.0
407,1996,389.6363636363636,53.0,795.0
407,1997,389.6363636363636,45.400002,681.0
407,1998,389.6363636363636,41.066666,616.0
407,1999,389.09090909090907,41.0,615.0
407,2000,388.1818181818182,46.333332,695.0
407,2001,380.7272727272728,47.200001,708.0
407,2002,366.7272727272728,48.400002,726.0
407,2003,351.45454545454544,39.400002,591.0
407,2004,310.14545454545447,50.0,750.0
407,2005,294.84545454545463,44.86666500000001,673.0
407,2006,282.87272727272733,47.599998,714.0
407,2007,275.90909090909093,52.266666,784.0
407,2008,330.64545454545447,50.400002,756.0
407,2009,322.9818181818182,53.1875,851.0
407,2010,313.89090909090913,56.1875,899.0
407,2011,325.7909090909091,56.3125,901.0
407,2012,324.2,52.933334,794.0
407,2013,325.3363636363636,53.933334,809.0
170,1993,365.7545454545455,42.137932,1222.0
170,1994,463.8636363636364,53.068966,1539.0
170,1995,468.4090909090909,45.034481,1306.0
170,1996,509.27272727272725,45.827587,1329.0
170,1997,515.2727272727273,44.068966,1278.0
170,1998,479.39090909090913,37.413792,1085.0
170,1999,499.21818181818185,39.724136,1152.0
170,2000,499.4727272727273,45.206898,1311.0
170,2001,499.60909090909087,40.896553,1186.0
170,2002,484.9272727272728,44.344826,1286.0
170,2003,465.8363636363636,34.172413,991.0
