PlaceID,Year,MeanLight,SumLight
1387,1992,28.775862,3338.0
1387,1993,36.948277,4286.0
1387,1994,30.706896,3562.0
1387,1995,36.54310200000001,4239.0
1387,1996,36.784481,4267.0
1387,1997,26.413794,3064.0
1387,1998,34.603447,4014.0
1387,1999,35.189655,4082.0
1387,2000,36.077587,4185.0
1387,2001,37.629311,4365.0
1387,2002,35.939655,4169.0
1387,2003,24.758621,2872.0
1387,2004,27.482759,3188.0
1387,2005,27.982759,3246.0
1387,2006,26.698277,3097.0
1387,2007,31.603449,3666.0
1387,2008,30.189655,3502.0
1387,2009,31.111111,3640.0
1387,2010,35.46154,4149.0
1387,2011,32.418803999999994,3793.0
1387,2012,36.29310200000001,4210.0
1387,2013,34.672413,4022.0
1419,1992,7.8252425,806.0
1419,1993,6.7281551,693.0
1419,1994,7.6116505,784.0
1419,1995,8.631068199999998,889.0
1419,1996,9.4660196,975.0
1419,1997,8.8155336,908.0
1419,1998,7.087378500000002,730.0
1419,1999,7.796116400000002,803.0
1419,2000,9.4563103,974.0
1419,2001,8.0485439,829.0
1419,2002,8.6116505,887.0
1419,2003,5.7281551,590.0
1419,2004,6.9417477,715.0
1419,2005,6.0970874,628.0
1419,2006,6.7669902,697.0
1419,2007,7.9611649999999985,820.0
1419,2008,7.3689322,759.0
1419,2009,6.1165047,630.0
1419,2010,8.6407766,890.0
1419,2011,5.563107,573.0
1419,2012,7.1747575,739.0
1419,2013,7.5728154,780.0
1451,1992,6.180697900000001,3010.0
1451,1993,9.9466124,4844.0
1451,1994,11.443532,5573.0
1451,1995,12.476386,6076.0
1451,1996,12.459959,6068.0
1451,1997,11.303902,5505.0
1451,1998,9.7125254,4730.0
1451,1999,10.004107,4872.0
1451,2000,12.22382,5953.0
1451,2001,11.533881,5617.0
1451,2002,12.605749,6139.0
1451,2003,8.416837699999999,4099.0
1451,2004,11.909651,5800.0
1451,2005,10.154004,4945.0
1451,2006,11.675565,5686.0
1451,2007,13.318275,6486.0
1451,2008,11.950719,5820.0
1451,2009,11.167347,5472.0
1451,2010,16.095919,7887.0
1451,2011,12.446939,6099.0
1451,2012,13.137577,6398.0
1451,2013,13.264887,6460.0
1483,1992,5.7597404,1774.0
1483,1993,9.8506489,3034.0
1483,1994,6.6331167,2043.0
1483,1995,10.298701,3172.0
